stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:09:00,46.0,47.5,46.0,47.5,72725.0,2125.0,667.0,667.0,667.0,667.0,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:10:00,47.5,47.5,46.5,47.15,72725.0,1600.0,667.0,672.75,667.0,672.75,2725.0,75.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:11:00,47.5,47.9,46.55,46.55,72725.0,3450.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:12:00,46.55,48.2,46.2,47.3,70075.0,1750.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:13:00,47.3,47.7,46.65,46.9,70075.0,1025.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:14:00,46.9,46.9,45.9,46.2,70075.0,1175.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:15:00,46.2,47.55,46.0,47.55,69100.0,1975.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:16:00,47.55,50.2,47.5,49.35,69100.0,4350.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:17:00,49.35,49.75,48.25,49.15,69100.0,1175.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:18:00,49.15,49.15,47.25,47.75,70775.0,2550.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:19:00,47.75,48.1,47.45,47.6,70775.0,2225.0,672.75,672.75,672.75,672.75,2725.0,0.0
